Team,Rd64,,,,,Rd32,,,,,Swt16,,,,,Elite8,,,,,Final4,,,,,Champ,,,,
,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP
Houston,96.2,97.42,-1.22,-4.64,-4.64,76.8,86.31,-9.51,-220.63,-445.9,54.4,67.05,-12.65,-576.84,-2176.42,41.2,45.99,-4.79,-281.65,-3303.02,26.8,30.32,-3.52,-257.66,-4591.32,16.4,12.48,3.92,64.29,-4205.58
Connecticut,98.2,98.48,-0.28,-0.5,-0.5,81.0,93.82,-12.82,-243.58,-487.66,52.7,79.89,-27.19,-1286.09,-4345.93,36.5,66.14,-29.64,-1882.14,-11874.49,25.8,50.2,-24.4,-1810.48,-20926.89,16.3,34.75,-18.45,-1544.27,-30192.51
Purdue,98.2,97.73,0.47,46.15,46.15,77.4,88.85,-11.45,-258.77,-471.39,56.9,65.43,-8.53,-367.64,-1574.31,36.8,43.11,-6.31,-398.79,-3169.47,21.5,21.98,-0.48,-37.68,-3357.87,12.0,10.37,1.63,19.56,-3240.51
Auburn,88.1,90.38,-2.28,-27.13,-27.13,66.9,65.08,1.82,121.76,216.39,32.8,12.65,20.15,660.92,2199.15,20.6,7.81,12.79,263.47,3253.03,13.2,3.88,9.32,123.02,3868.13,7.4,1.83,5.57,41.22,4115.45
Arizona,96.4,95.79,0.61,58.8,58.8,70.1,85.61,-15.51,-463.75,-868.7,46.4,60.55,-14.15,-758.44,-3144.02,28.6,31.34,-2.74,-195.64,-3926.58,13.4,10.49,2.91,38.99,-3731.63,6.8,5.01,1.79,12.17,-3658.61
Tennessee,95.6,95.18,0.42,40.15,40.15,67.5,79.36,-11.86,-385.45,-730.75,43.6,52.36,-8.76,-494.06,-2212.93,23.1,22.58,0.52,12.01,-2164.89,11.9,10,1.9,22.61,-2051.84,5.7,3.51,2.19,12.48,-1976.96
Iowa St.,92.8,95.79,-2.99,-21.53,-21.53,69.6,80.99,-11.39,-346.26,-714.05,43.2,49.49,-6.29,-357.27,-1785.86,19.2,11.96,7.24,139.01,-1229.82,11.3,6.28,5.02,56.73,-946.17,5.7,2.9,2.8,15.96,-850.41
North Carolina,98.1,98,0.1,9.81,9.81,62.3,86.46,-24.16,-910.83,-1811.85,38.2,71.11,-32.91,-2033.84,-7913.37,20.6,43.6,-23.0,-1826.2,-15218.17,8.7,15.91,-7.21,-658.27,-18509.52,4.0,9.15,-5.15,-494.4,-21475.92
Duke,84.9,91.75,-6.85,-103.43,-103.43,55.5,61.08,-5.58,-248.31,-600.05,23.7,18.84,4.86,115.18,-254.51,14.7,8.19,6.51,95.7,128.29,7.3,3.89,3.41,24.89,252.74,3.3,1.55,1.75,5.77,287.36
Creighton,86.5,92.23,-5.73,-77.36,-77.36,61.0,68.77,-7.77,-303.03,-683.42,30.8,30.5,0.3,9.24,-655.7,14.5,13.4,1.1,15.95,-591.9,6.6,4.49,2.11,13.93,-522.25,2.8,1.36,1.44,4.03,-498.07
Marquette,91.0,94.12,-3.12,-28.08,-28.08,56.6,73.73,-17.13,-743.44,-1514.96,34.7,33.67,1.03,35.74,-1407.74,13.9,13.4,0.5,6.95,-1379.94,6.2,5.77,0.43,2.67,-1366.59,2.5,1.95,0.55,1.38,-1358.31
Illinois,86.9,92.45,-5.55,-72.7,-72.7,55.0,70.88,-15.88,-714.6,-1501.9,28.4,35.54,-7.14,-511.22,-3035.56,10.8,7.87,2.93,31.64,-2909.0,5.6,3.81,1.79,10.02,-2858.9,2.5,1.65,0.85,2.12,-2846.18
Baylor,88.3,93,-4.7,-54.99,-54.99,53.2,65.48,-12.28,-574.7,-1204.39,24.6,25.44,-0.84,-63.34,-1394.41,12.5,10.58,1.92,24.0,-1298.41,4.7,2.89,1.81,8.51,-1255.86,1.9,0.92,0.98,1.86,-1244.7
Alabama,84.1,87.5,-3.4,-54.06,-54.06,52.0,55.8,-3.8,-182.4,-418.86,25.8,13.77,12.03,310.37,512.25,12.5,5.15,7.35,91.88,879.77,4.6,1.39,3.21,14.77,953.62,1.9,0.54,1.36,2.58,969.1
Gonzaga,70.2,80.59,-10.39,-309.62,-309.62,43.4,44.63,-1.23,-69.62,-448.86,16.9,13.98,2.92,49.35,-300.81,8.0,6.28,1.72,13.76,-245.77,3.3,2.62,0.68,2.24,-234.57,1.3,1.09,0.21,0.27,-232.95
Kentucky,86.7,95.29,-8.59,-114.25,-114.25,51.0,74.54,-23.54,-1153.46,-2421.17,24.9,49.19,-24.29,-1824.18,-7893.71,8.3,22.14,-13.84,-1269.13,-12970.23,3.2,11,-7.8,-755.04,-16745.43,1.1,4.07,-2.97,-293.73,-18507.81
BYU,76.3,75.52,0.78,59.51,59.51,36.4,22.22,14.18,516.15,1091.81,16.3,7.72,8.58,139.85,1511.36,5.1,1.47,3.63,18.51,1585.4,2.3,0.32,1.98,4.55,1608.15,0.9,0.14,0.76,0.68,1612.23
Wisconsin,68.0,65.88,2.12,144.16,144.16,31.1,25.99,5.11,158.92,462.0,10.5,7.41,3.09,32.45,559.35,5.4,3.01,2.39,12.91,610.99,2.2,1.07,1.13,2.49,623.44,0.8,0.45,0.35,0.28,625.12
Saint Mary's,63.5,73.06,-9.56,-348.94,-348.94,31.0,32.81,-1.81,-124.89,-598.72,13.6,7.12,6.48,88.13,-334.33,5.8,2.42,3.38,19.6,-255.93,1.9,0.59,1.31,2.49,-243.48,0.7,0.2,0.5,0.35,-241.38
Kansas,73.4,81.81,-8.41,-223.71,-223.71,37.0,41.85,-4.85,-305.55,-834.81,12.4,14.32,-1.92,-168.19,-1339.38,5.2,7.43,-2.23,-211.4,-2184.98,1.9,3.49,-1.59,-155.98,-2964.88,0.6,1.62,-1.02,-101.39,-3573.22
Michigan St.,54.8,65.05,-10.25,-463.3,-463.3,21.9,8.58,13.32,291.71,120.12,10.9,4.12,6.78,73.9,341.82,4.6,1.56,3.04,13.98,397.74,1.5,0.62,0.88,1.32,404.34,0.6,0.32,0.28,0.17,405.36
Texas Tech,63.1,56.18,6.92,436.65,436.65,32.2,12.84,19.36,623.39,1683.43,14.6,4.91,9.69,141.47,2107.84,4.6,1.07,3.53,16.24,2172.8,1.6,0.37,1.23,1.97,2182.65,0.5,0.16,0.34,0.17,2183.67
San Diego St.,79.2,78.84,0.36,28.51,28.51,26.6,27.27,-0.67,-49.18,-69.85,8.1,3.69,4.41,35.72,37.31,3.3,1.49,1.81,5.97,61.19,1.4,0.62,0.78,1.09,66.64,0.5,0.31,0.19,0.1,67.24
New Mexico,55.1,49.31,5.79,319.03,319.03,25.8,17.31,8.49,219.04,757.11,9.7,3.49,6.21,60.24,937.83,4.0,0.87,3.13,12.52,987.91,1.2,0.18,1.02,1.22,994.01,0.4,0.08,0.32,0.13,994.79
Texas,58.1,75.07,-16.97,-711.04,-711.04,20.0,15,5.0,100.0,-511.04,9.4,6.85,2.55,23.97,-439.13,3.3,2.18,1.12,3.7,-424.33,1.2,0.88,0.32,0.38,-422.43,0.4,0.51,-0.11,-10.96,-488.19
Florida,51.7,74.55,-22.85,-1103.65,-1103.65,22.0,19.73,2.27,49.94,-1003.77,11.0,6.06,4.94,54.34,-840.75,3.3,1.62,1.68,5.54,-818.59,1.1,0.63,0.47,0.52,-815.99,0.3,0.27,0.03,0.01,-815.93
Nebraska,55.0,50.31,4.69,257.95,257.95,13.1,6.19,6.91,90.52,438.99,5.4,1.88,3.52,19.01,496.02,2.5,0.7,1.8,4.5,514.02,0.9,0.29,0.61,0.55,516.77,0.3,0.15,0.15,0.04,517.01
Mississippi St.,45.2,34.47,10.73,485.0,485.0,15.8,3.87,11.93,188.49,861.98,7.1,1.58,5.52,39.19,979.55,2.7,0.5,2.2,5.94,1003.31,0.8,0.14,0.66,0.53,1005.96,0.2,0.06,0.14,0.03,1006.14
Dayton,51.1,44.3,6.8,347.48,347.48,15.4,6.72,8.68,133.67,614.82,6.7,2.1,4.6,30.82,707.28,2.6,0.56,2.04,5.3,728.48,0.7,0.17,0.53,0.37,730.33,0.2,0.07,0.13,0.03,730.51
TCU,55.4,57.98,-2.58,-115.07,-115.07,13.3,6.11,7.19,95.63,76.19,6.2,1.85,4.35,26.97,157.1,2.3,0.49,1.81,4.16,173.74,0.7,0.17,0.53,0.37,175.59,0.2,0.08,0.12,0.02,175.71
Colorado,27.9,24.86,3.04,84.82,84.82,12.2,3.93,8.27,100.89,286.6,6.2,0.85,5.35,33.17,386.11,1.9,0.26,1.64,3.12,398.59,0.7,0.1,0.6,0.42,400.69,0.2,0.05,0.15,0.03,400.87
Clemson,44.9,50.2,-5.3,-292.03,-292.03,19.1,14.83,4.27,81.56,-128.91,6.5,5.09,1.41,9.17,-101.4,2.5,1.37,1.13,2.82,-90.12,0.6,0.47,0.13,0.08,-89.72,0.2,0.18,0.02,0.0,-89.72
Nevada,48.9,55.18,-6.28,-320.91,-320.91,14.0,5.63,8.37,117.18,-86.55,5.9,1.63,4.27,25.19,-10.98,2.2,0.39,1.81,3.98,4.94,0.6,0.11,0.49,0.29,6.39,0.2,0.05,0.15,0.03,6.57
South Carolina,53.7,50.64,3.06,164.32,164.32,19.8,14.13,5.67,112.27,388.86,6.4,4.07,2.33,14.91,433.59,1.9,1.11,0.79,1.5,439.59,0.5,0.38,0.12,0.06,439.89,0.1,0.16,-0.06,-5.99,403.95
Washington St.,53.5,41.54,11.96,639.86,639.86,16.3,8.55,7.75,126.33,892.52,6.1,2.5,3.6,21.96,958.4,1.4,0.51,0.89,1.25,963.4,0.5,0.21,0.29,0.15,964.15,0.1,0.1,0.0,0.0,964.15
Texas A&M,45.0,49.19,-4.19,-230.45,-230.45,9.5,6.27,3.23,30.69,-169.07,3.5,2.05,1.45,5.08,-153.83,1.4,0.68,0.72,1.01,-149.79,0.4,0.25,0.15,0.06,-149.49,0.1,0.11,-0.01,-1.0,-155.49
Colorado St.,27.3,24.3,3.0,81.9,81.9,8.4,3.46,4.94,41.5,164.9,3.7,0.9,2.8,10.36,195.98,1.2,0.27,0.93,1.12,200.46,0.4,0.11,0.29,0.12,201.06,0.1,0.05,0.05,0.01,201.12
Northwestern,49.3,44.21,5.09,250.94,250.94,9.4,2.98,6.42,60.35,371.64,2.8,1.05,1.75,4.9,386.34,0.9,0.42,0.48,0.43,388.06,0.3,0.17,0.13,0.04,388.26,0.08,0.07,0.01,0.0,388.26
Florida Atlantic,50.7,55.6,-4.9,-241.57,-241.57,9.3,2.44,6.86,63.8,-113.97,2.8,1.06,1.74,4.87,-99.36,0.9,0.49,0.41,0.37,-97.88,0.3,0.2,0.1,0.03,-97.73,0.08,0.09,-0.01,-1.0,-103.73
Utah St.,44.6,41.4,3.2,142.72,142.72,9.1,3.87,5.23,47.59,237.9,3.7,1.44,2.26,8.36,262.98,1.2,0.4,0.8,0.96,266.82,0.3,0.14,0.16,0.05,267.07,0.08,0.05,0.03,0.0,267.07
Oregon,46.3,48.75,-2.45,-131.57,-131.57,15.2,14.84,0.36,5.47,-120.63,4.3,3.71,0.59,2.54,-113.01,1.1,1.05,0.05,0.06,-112.77,0.3,0.38,-0.08,-7.98,-152.67,0.06,0.17,-0.11,-10.99,-218.61
Drake,46.5,58.23,-11.73,-627.55,-627.55,12.5,8.87,3.63,45.38,-536.79,4.2,2.52,1.68,7.06,-515.61,0.8,0.39,0.41,0.33,-514.29,0.2,0.16,0.04,0.01,-514.24,0.06,0.07,-0.01,-1.0,-520.24
Grand Canyon,36.5,26.45,10.05,366.83,366.83,12.6,7.94,4.66,58.72,484.27,3.7,1.06,2.64,9.77,513.58,1.1,0.36,0.74,0.81,516.82,0.2,0.11,0.09,0.02,516.92,0.05,0.05,0.0,0.0,516.92
N.C. State,36.9,43.31,-6.41,-404.47,-404.47,14.0,10.78,3.22,45.08,-314.31,4.5,3.93,0.57,2.56,-306.63,1.0,1.28,-0.28,-27.72,-417.51,0.2,0.56,-0.36,-35.93,-597.16,0.05,0.27,-0.22,-21.99,-729.1
McNeese St.,29.8,18.84,10.96,326.61,326.61,12.2,9.66,2.54,30.99,388.59,2.7,1.53,1.17,3.16,398.07,0.8,0.42,0.38,0.3,399.27,0.2,0.14,0.06,0.01,399.32,0.04,0.07,-0.03,-3.0,381.32
James Madison,32.0,33.64,-1.64,-111.52,-111.52,9.3,10.61,-1.31,-118.82,-349.16,1.8,1.53,0.27,0.49,-347.69,0.6,0.54,0.06,0.04,-347.53,0.1,0.22,-0.12,-11.99,-407.48,0.03,0.11,-0.08,-8.0,-455.48
Samford,26.6,17.61,8.99,239.13,239.13,7.4,3.36,4.04,29.9,298.93,1.2,0.67,0.53,0.64,300.85,0.2,0.26,-0.06,-5.99,276.89,0.04,0.1,-0.06,-6.0,246.89,0.007,0.04,-0.03,-3.3,227.09
Duquesne,23.7,24.27,-0.57,-43.49,-43.49,5.6,4.05,1.55,8.68,-26.13,1.2,0.9,0.3,0.36,-25.05,0.2,0.22,-0.02,-2.0,-33.05,0.03,0.09,-0.06,-6.0,-63.05,0.005,0.04,-0.04,-3.5,-84.05
