Team,Rd64,,,,,Rd32,,,,,Swt16,,,,,Elite8,,,,,Final4,,,,,Champ,,,,
,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP,KenPom %,Peoples %,Adv,Adv+,Adv+WP
Akron,10.2,12.02,-1.82,-18.56,-1.82,2.4,4.23,-1.83,-4.39,-5.48,0.1,0.62,-0.52,-0.05,-7.04,0.01,0.24,-0.23,-0.0,-7.96,.001,0.11,-0.11,-0.0,-8.51,.001,0.06,-0.06,-0.0,-8.86
Alabama,97.0,94.6,2.4,232.8,2.4,69.9,79.02,-9.12,-637.49,-15.84,45.6,55.95,-10.35,-471.96,-46.89,18.7,17.9,0.8,14.96,-43.69,9.3,8.48,0.82,7.63,-39.59,4.2,3.32,0.88,3.7,-34.31
Arizona,89.8,85.19,4.61,413.98,4.61,61.5,52.01,9.49,583.64,23.59,17.4,8.98,8.42,146.51,48.85,8.2,3.94,4.26,34.93,65.89,3.3,1.62,1.68,5.54,74.29,1.2,0.75,0.45,0.54,76.99
Arkansas,36.2,34.61,1.59,57.56,1.59,11.4,6.19,5.21,59.39,12.01,3.6,2.28,1.32,4.75,15.97,0.7,0.57,0.13,0.09,16.49,0.2,0.25,-0.05,-0.01,16.24,0.03,0.12,-0.09,-0.0,15.7
Auburn,99.7,98.1,1.6,159.52,1.6,80.4,87.3,-6.9,-554.76,-12.2,63.3,72.48,-9.18,-581.09,-39.74,45.8,51.81,-6.01,-275.26,-63.78,27.2,27.79,-0.59,-16.05,-66.73,14.9,14.12,0.78,11.62,-62.05
BYU,54.3,65.49,-11.19,-607.62,-11.19,24.0,27.91,-3.91,-93.84,-19.01,8.9,11.21,-2.31,-20.56,-25.94,2.4,1.22,1.18,2.83,-21.22,0.8,0.43,0.37,0.3,-19.37,0.2,0.22,-0.02,-0.0,-19.49
Baylor,52.5,54.72,-2.22,-116.55,-2.22,8.7,3.79,4.91,42.72,7.6,4.0,1.48,2.52,10.08,15.16,1.5,0.67,0.83,1.24,18.48,0.5,0.27,0.23,0.11,19.63,0.1,0.13,-0.03,-0.0,19.45
Bryant,4.2,3.25,0.95,3.99,0.95,0.4,1.33,-0.93,-0.37,-0.91,0.03,0.64,-0.61,-0.02,-2.74,0.001,0.25,-0.25,-0.0,-3.74,.001,0.09,-0.09,-0.0,-4.18,.001,0.04,-0.04,-0.0,-4.42
Clemson,72.2,82.42,-10.22,-737.88,-10.22,40.5,48.62,-8.12,-328.86,-26.46,13.0,10.45,2.55,33.15,-18.81,5.7,3.9,1.8,10.26,-11.61,1.8,1.11,0.69,1.24,-8.16,0.6,0.41,0.19,0.11,-7.02
Colorado St.,54.8,27.79,27.01,1480.15,27.01,18.3,6.83,11.47,209.9,49.95,3.2,0.84,2.36,7.55,57.03,1.0,0.34,0.66,0.66,59.67,0.2,0.15,0.05,0.01,59.92,0.05,0.07,-0.02,-0.0,59.8
Connecticut,52.3,67.45,-15.15,-792.35,-15.15,8.5,10.55,-2.05,-17.43,-19.25,3.6,7.01,-3.41,-12.28,-29.48,1.3,2.97,-1.67,-2.17,-36.16,0.4,1.6,-1.2,-0.48,-42.16,0.09,0.76,-0.67,-0.06,-46.18
Creighton,40.3,43.91,-3.61,-145.48,-3.61,6.5,4.57,1.93,12.54,0.25,2.8,2.02,0.78,2.18,2.59,1.0,0.79,0.21,0.21,3.43,0.2,0.28,-0.08,-0.02,3.03,0.04,0.13,-0.09,-0.0,2.49
Drake,28.4,38.3,-9.9,-281.16,-9.9,7.7,12.19,-4.49,-34.57,-18.88,2.2,2.45,-0.25,-0.55,-19.63,0.4,0.59,-0.19,-0.08,-20.39,0.08,0.25,-0.17,-0.01,-21.24,0.01,0.09,-0.08,-0.0,-21.72
Duke,99.5,96.62,2.88,286.56,2.88,84.6,91.53,-6.93,-586.28,-10.98,69.4,80.27,-10.87,-754.38,-43.59,52.5,64.1,-11.6,-609.0,-89.99,35.6,49.36,-13.76,-489.86,-158.79,22.9,28.17,-5.27,-120.68,-190.41
Florida,99.0,96.38,2.62,259.38,2.62,85.0,84.25,0.75,63.75,4.12,67.3,74.01,-6.71,-451.58,-16.01,50.1,54.65,-4.55,-227.95,-34.21,32.7,31.69,1.01,33.03,-29.16,18.8,17.41,1.39,26.13,-20.82
Georgia,31.0,27.63,3.37,104.47,3.37,6.0,5.43,0.57,3.42,4.51,2.6,2.42,0.18,0.47,5.05,0.9,1.04,-0.14,-0.13,4.49,0.2,0.64,-0.44,-0.09,2.29,0.05,0.46,-0.41,-0.02,-0.17
Gonzaga,69.0,69.18,-0.18,-12.42,-0.18,22.4,12.96,9.44,211.46,18.7,13.8,7.32,6.48,89.42,38.14,7.1,3.17,3.93,27.9,53.86,2.7,1.12,1.58,4.27,61.76,1.1,0.6,0.5,0.55,64.76
Grand Canyon,10.3,13.42,-3.12,-32.14,-3.12,2.8,4.56,-1.76,-4.93,-6.64,0.2,0.69,-0.49,-0.1,-8.11,0.02,0.28,-0.26,-0.01,-9.15,0.002,0.12,-0.12,-0.0,-9.74,.001,0.06,-0.06,-0.0,-10.09
High Point,19.6,14.52,5.08,99.57,5.08,4.9,3.93,0.97,4.75,7.02,0.5,0.6,-0.1,-0.05,6.72,0.07,0.27,-0.2,-0.01,5.92,0.007,0.1,-0.09,-0.0,5.46,.001,0.05,-0.05,-0.0,5.16
Houston,98.6,95.67,2.93,288.9,2.93,71.5,78.71,-7.21,-515.51,-11.49,54.4,66.55,-12.15,-660.96,-47.94,37.3,44.2,-6.9,-257.37,-75.54,20.9,16.47,4.43,92.59,-53.39,12.2,8.46,3.74,45.63,-30.95
Illinois,66.2,73.86,-7.66,-507.09,-7.66,35.2,26.4,8.8,309.76,9.94,14.2,9.85,4.35,61.77,22.99,5.0,1.76,3.24,16.2,35.95,1.5,0.55,0.95,1.42,40.7,0.5,0.26,0.24,0.12,42.14
Iowa St.,85.8,92.87,-7.07,-606.61,-7.07,56.2,63.63,-7.43,-417.57,-21.93,30.8,22.21,8.59,264.57,3.84,13.0,6.41,6.59,85.67,30.2,5.2,2.23,2.97,15.44,45.05,1.9,0.64,1.26,2.39,52.61
