Team,Rd2,Swt16,Elite8,Final4,Final,Champ
Akron,10.2,2.4,0.1,0.01,.001,.001
Alabama,97.0,69.9,45.6,18.7,9.3,4.2
Arizona,89.8,61.5,17.4,8.2,3.3,1.2
Arkansas,36.2,11.4,3.6,0.7,0.2,0.03
Auburn,99.7,80.4,63.3,45.8,27.2,14.9
BYU,54.3,24.0,8.9,2.4,0.8,0.2
Baylor,52.5,8.7,4.0,1.5,0.5,0.1
Bryant,4.2,0.4,0.03,0.001,.001,.001
Clemson,72.2,40.5,13.0,5.7,1.8,0.6
Colorado St.,54.8,18.3,3.2,1.0,0.2,0.05
Connecticut,52.3,8.5,3.6,1.3,0.4,0.09
Creighton,40.3,6.5,2.8,1.0,0.2,0.04
Drake,28.4,7.7,2.2,0.4,0.08,0.01
Duke,99.5,84.6,69.4,52.5,35.6,22.9
Florida,99.0,85.0,67.3,50.1,32.7,18.8
Georgia,31.0,6.0,2.6,0.9,0.2,0.05
Gonzaga,69.0,22.4,13.8,7.1,2.7,1.1
Grand Canyon,10.3,2.8,0.2,0.02,0.002,.001
High Point,19.6,4.9,0.5,0.07,0.007,.001
Houston,98.6,71.5,54.4,37.3,20.9,12.2
Illinois,66.2,35.2,14.2,5.0,1.5,0.5
Iowa St.,85.8,56.2,30.8,13.0,5.2,1.9
Kansas,63.8,28.4,12.6,3.8,1.3,0.4
Kentucky,86.4,49.4,20.8,7.6,2.4,0.8
Liberty,34.6,9.4,1.1,0.2,0.04,0.007
Lipscomb,14.2,3.6,0.6,0.08,0.007,.001
Louisville,59.7,13.1,6.8,3.0,0.9,0.3
Marquette,61.1,23.1,10.2,3.1,0.9,0.2
Maryland,89.7,66.1,21.5,11.1,4.7,1.7
McNeese,27.8,9.5,1.4,0.3,0.05,0.008
Memphis,45.2,12.8,1.7,0.4,0.09,0.01
Michigan,58.5,30.5,8.3,3.5,1.1,0.3
Michigan St.,95.8,65.7,38.6,16.8,7.0,2.7
Mississippi,59.6,26.0,11.2,3.6,1.1,0.3
Mississippi St.,47.5,6.7,2.9,1.0,0.3,0.07
Missouri,71.6,32.6,16.2,5.2,2.0,0.6
Montana,5.9,0.6,0.03,0.002,.001,.001
Nebraska Omaha,4.9,0.5,0.04,0.001,.001,.001
New Mexico,38.9,10.8,3.6,0.8,0.2,0.03
Norfolk St.,1.0,0.1,0.009,.001,.001,.001
Oklahoma,47.7,6.4,2.5,0.8,0.2,0.04
Oregon,65.4,26.6,5.1,1.8,0.5,0.1
Purdue,80.4,45.0,14.2,6.2,2.0,0.6
Robert Morris,3.0,0.4,0.04,0.002,.001,.001
SIUE,1.4,0.06,0.004,.001,.001,.001
Saint Mary's,65.8,23.1,11.1,3.2,1.2,0.4
St. John's,95.1,59.6,31.0,11.2,4.8,1.7
Tennessee,93.4,69.6,48.2,25.1,11.8,5.7
Texas A&M,78.4,45.3,14.3,6.7,2.3,0.7
Texas Tech,90.9,58.2,34.1,13.8,6.5,2.6
Troy,13.6,2.5,0.3,0.03,0.003,.001
UC San Diego,41.5,18.3,4.0,1.4,0.3,0.07
UCLA,65.1,21.7,10.3,3.4,0.9,0.3
UNC Wilmington,9.1,1.6,0.2,0.01,0.002,.001
Utah St.,34.9,7.5,2.4,0.5,0.08,0.01
VCU,45.7,18.4,6.1,1.4,0.4,0.1
Vanderbilt,34.2,6.6,2.0,0.3,0.07,0.01
Wisconsin,94.1,57.0,26.1,8.7,3.6,1.3
Wofford,6.6,1.3,0.2,0.02,.001,.001
Yale,21.6,5.9,0.6,0.1,0.02,0.003
