Username,Round of 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round of 32,,,,,,,,,,,,,,,,Sweet 16,,,,,,,,Elite 8,,,,Final Four,,Championship,Tie Breaker
,East,,,,,,,,West,,,,,,,,South,,,,,,,,MidWest,,,,,,,,East,,,,West,,,,South,,,,MidWest,,,,East,,West,,South,,MidWest,,East,West,South,MidWest,East/West,South/MidWest,Champion
annamgeis, UCONN, Northwestern, San Diego St., Auburn, Duquesne, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Nevada, Arizona, Houston, Texas A&M, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, San Diego St., Illinois, Iowa State, North Carolina, Saint Mary's, Baylor, Arizona, Houston, Wisconsin, Kentucky, Marquette, Purdue, Gonzaga, Creighton, Tennessee, UCONN, Iowa State, North Carolina, Baylor, Houston, Kentucky, Purdue, Tennessee, Iowa State, North Carolina, Kentucky, Purdue, North Carolina, Purdue, North Carolina, 158, 
BING BONG, UCONN, Florida Atlantic, UAB, Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Texas A&M, Wisconsin, Duke, NC State, Kentucky, Colorado, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Saint Mary's, Baylor, Dayton, Houston, Wisconsin, NC State, Marquette, Purdue, Gonzaga, Creighton, Tennessee, UCONN, Iowa State, North Carolina, Dayton, Houston, NC State, Purdue, Creighton, Iowa State, North Carolina, Houston, Creighton, Iowa State, Houston, Houston, 132, 
Buto19, UCONN, Northwestern, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Texas A&M, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Alabama, Baylor, Arizona, Houston, Duke, NC State, Marquette, Purdue, Kansas, Creighton, Tennessee, UCONN, Iowa State, North Carolina, Baylor, Houston, Marquette, Kansas, Tennessee, UCONN, North Carolina, Houston, Tennessee, North Carolina, Houston, North Carolina, 158, 
Djantwins, UCONN, Northwestern, San Diego St., Auburn, Duquesne, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Grand Canyon, Alabama, New Mexico, Baylor, Dayton, Arizona, Houston, Texas A&M, James Madison, Duke, NC State, Kentucky, Florida, Marquette, Purdue, Utah St., Gonzaga, Kansas, Oregon, Creighton, Texas, Saint Peter's, UCONN, San Diego St., Duquesne, Washington St., North Carolina, Grand Canyon, Baylor, Dayton, Texas A&M, Duke, Kentucky, Florida, Utah St., Gonzaga, Creighton, Texas, UCONN, Washington St., North Carolina, Baylor, Texas A&M, Kentucky, Gonzaga, Texas, UCONN, Baylor, Kentucky, Gonzaga, UCONN, Gonzaga, UCONN, 149, 
FearDaPaw, UCONN, Florida Atlantic, San Diego St., Auburn, Duquesne, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Nevada, Arizona, Houston, Texas A&M, Wisconsin, Duke, NC State, Kentucky, Colorado, Marquette, Purdue, Utah St., Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Saint Mary's, Baylor, Arizona, Houston, Wisconsin, Kentucky, Marquette, Purdue, Kansas, Oregon, Tennessee, UCONN, Iowa State, North Carolina, Arizona, Houston, Kentucky, Purdue, Tennessee, UCONN, Arizona, Houston, Purdue, UCONN, Houston, Houston, 132, 
haffadash02, UCONN, Northwestern, San Diego St., Auburn, Duquesne, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Texas A&M, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, Utah St., Gonzaga, Kansas, South Carolina, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Alabama, Baylor, Arizona, Houston, Duke, Kentucky, Marquette, Purdue, Kansas, South Carolina, Tennessee, UCONN, Iowa State, North Carolina, Arizona, Houston, Kentucky, Purdue, Tennessee, UCONN, North Carolina, Houston, Tennessee, UCONN, Houston, Houston, 147, 
JDGoHuskies, UCONN, Florida Atlantic, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Texas A&M, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Saint Mary's, Baylor, Arizona, Houston, Duke, Kentucky, Marquette, Purdue, Kansas, Creighton, Tennessee, UCONN, Illinois, North Carolina, Arizona, Houston, Marquette, Purdue, Creighton, UCONN, North Carolina, Marquette, Purdue, UCONN, Purdue, UCONN, 170, 
JP77, UCONN, Florida Atlantic, San Diego St., Auburn, Duquesne, Illinois, Drake, Iowa State, North Carolina, Michigan St., Saint Mary's, Charleston, New Mexico, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Oakland, Colorado, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Colorado St., Tennessee, UCONN, Auburn, Illinois, Iowa State, Michigan St., Saint Mary's, Baylor, Arizona, Houston, Duke, NC State, Marquette, Purdue, Kansas, Creighton, Tennessee, UCONN, Illinois, Michigan St., Arizona, Houston, Marquette, Purdue, Tennessee, UCONN, Arizona, Houston, Tennessee, UCONN, Houston, Houston, 144, 
JP77, UCONN, Florida Atlantic, San Diego St., Auburn, Duquesne, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, New Mexico, Baylor, Nevada, Arizona, Houston, Nebraska, James Madison, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Washington St., North Carolina, Alabama, Baylor, Arizona, Houston, Duke, Kentucky, Florida, TCU, Kansas, Creighton, Tennessee, UCONN, Illinois, North Carolina, Baylor, Houston, Kentucky, Kansas, Tennessee, UCONN, North Carolina, Houston, Tennessee, UCONN, Houston, UCONN, 143, 
M8pck, UCONN, Florida Atlantic, UAB, Auburn, Duquesne, Illinois, Drake, Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Alabama, Baylor, Arizona, Houston, Duke, Kentucky, Florida, Purdue, Kansas, Creighton, Tennessee, UCONN, Iowa State, Alabama, Arizona, Duke, Kentucky, Kansas, Creighton, UCONN, Arizona, Duke, Creighton, Arizona, Duke, Arizona, 153, 
pramos1223, UCONN, Florida Atlantic, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, New Mexico, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Alabama, Baylor, Arizona, Houston, Duke, Kentucky, Marquette, Purdue, Kansas, Creighton, Tennessee, UCONN, Iowa State, North Carolina, Arizona, Houston, Marquette, Purdue, Tennessee, UCONN, North Carolina, Houston, Purdue, UCONN, Purdue, UCONN, 169, 
_Trav_, UCONN, Northwestern, San Diego St., Auburn, Duquesne, Illinois, Drake, Iowa State, North Carolina, Michigan St., Grand Canyon, Alabama, Clemson, Baylor, Dayton, Long Beach St., Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, Northwestern, San Diego St., Illinois, Iowa State, Michigan St., Grand Canyon, Clemson, Long Beach St., Nebraska, Wisconsin, NC State, Marquette, Purdue, Gonzaga, Creighton, Tennessee, Northwestern, Illinois, Michigan St., Clemson, Wisconsin, Marquette, Purdue, Tennessee, Illinois, Clemson, Wisconsin, Purdue, Illinois, Purdue, Purdue, 146, 
1GreatGreen, UCONN, Northwestern, San Diego St., Auburn, BYU, Illinois, Drake, Iowa State, North Carolina, Michigan St., Saint Mary's, Charleston, Clemson, Baylor, Dayton, Arizona, Houston, Texas A&M, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, Utah St., Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, San Diego St., Illinois, Iowa State, North Carolina, Saint Mary's, Baylor, Arizona, Houston, Duke, Kentucky, Marquette, Purdue, Gonzaga, Creighton, Tennessee, UCONN, Illinois, North Carolina, Arizona, Duke, Kentucky, Gonzaga, Tennessee, UCONN, North Carolina, Kentucky, Tennessee, UCONN, Kentucky, UCONN, 143, 
