Team,Rd64,,,,Rd32,,,,Swt16,,,,Elite8,,,,Final4,,,,Champ,,,
,KenPom %,Peoples %,Adv,Adv+,KenPom %,Peoples %,Adv,Adv+,KenPom %,Peoples %,Adv,Adv+,KenPom %,Peoples %,Adv,Adv+,KenPom %,Peoples %,Adv,Adv+,KenPom %,Peoples %,Adv,Adv+
Houston,96.2,95.7,0.5,48.1,76.8,85.13,-8.33,-639.74,54.4,63.34,-8.94,-486.34,41.2,43.34,-2.14,-88.17,26.8,20.15,6.65,178.22,16.4,10.01,6.39,104.8
Connecticut,98.2,98.09,0.11,10.8,81.0,92.48,-11.48,-929.88,52.7,79.11,-26.41,-1391.81,36.5,63.86,-27.36,-998.64,25.8,47.39,-21.59,-557.02,16.3,32.16,-15.86,-258.52
Purdue,98.2,95.6,2.6,255.32,77.4,83.69,-6.29,-486.85,56.9,59.52,-2.62,-149.08,36.8,40.06,-3.26,-119.97,21.5,17.46,4.04,86.86,12.0,9.91,2.09,25.08
Auburn,88.1,89.25,-1.15,-101.32,66.9,62.11,4.79,320.45,32.8,26.49,6.31,206.97,20.6,9.81,10.79,222.27,13.2,4.28,8.92,117.74,7.4,1.76,5.64,41.74
Arizona,96.4,93.7,2.7,260.28,70.1,77.79,-7.69,-539.07,46.4,48.19,-1.79,-83.06,28.6,21.72,6.88,196.77,13.4,9.89,3.51,47.03,6.8,4.22,2.58,17.54
Tennessee,95.6,92.34,3.26,311.66,67.5,69.27,-1.77,-119.47,43.6,44.29,-0.69,-30.08,23.1,13.16,9.94,229.61,11.9,7.03,4.87,57.95,5.7,3.32,2.38,13.57
Iowa St.,92.8,94.61,-1.81,-167.97,69.6,80.76,-11.16,-776.74,43.2,55.45,-12.25,-529.2,19.2,28.03,-8.83,-169.54,11.3,10.9,0.4,4.52,5.7,4.58,1.12,6.38
North Carolina,98.1,96.4,1.7,166.77,62.3,85.81,-23.51,-1464.67,38.2,70.56,-32.36,-1236.15,20.6,45.23,-24.63,-507.38,8.7,28.87,-20.17,-175.48,4.0,11.98,-7.98,-31.92
Duke,84.9,88.95,-4.05,-343.84,55.5,55.59,-0.09,-5.0,23.7,18.08,5.62,133.19,14.7,8.58,6.12,89.96,7.3,3.39,3.91,28.54,3.3,1.4,1.9,6.27
